distance,physical_error_rate,shots,logical_errors,logical_error_rate,logical_error_lower,logical_error_upper,physical_qubits,detectors,observables,noise_model,qec
1,0.001,100000,77,0.00077,0.0006161940945121526,0.0009621598618775093,1,0,1,depolarizing,False
3,0.001,100000,30,0.0003,0.0002101586812541139,0.0004282313834613759,26,24,1,depolarizing,True
5,0.001,100000,3,3e-05,1.0202758544517341e-05,8.820804925176732e-05,64,120,1,depolarizing,True
7,0.001,100000,2,2e-05,5.484738516524055e-06,7.292683754201227e-05,118,336,1,depolarizing,True
9,0.001,100000,0,0.0,0.0,3.841311258303963e-05,188,720,1,depolarizing,True
1,0.002,100000,142,0.00142,0.0012049812105907954,0.0016733228087525084,1,0,1,depolarizing,False
3,0.002,100000,99,0.00099,0.0008133145888640787,0.0012050224657560464,26,24,1,depolarizing,True
5,0.002,100000,44,0.00044,0.00032780253339280093,0.0005905767756511657,64,120,1,depolarizing,True
7,0.002,100000,1,1e-05,1.7652477303783126e-06,5.664709659040966e-05,118,336,1,depolarizing,True
9,0.002,100000,1,1e-05,1.7652477303783126e-06,5.664709659040966e-05,188,720,1,depolarizing,True
1,0.005,10000,46,0.0046,0.0034506598701977897,0.006129805715468581,1,0,1,depolarizing,False
3,0.005,10000,59,0.0059,0.004577046502138715,0.007602420687763897,26,24,1,depolarizing,True
5,0.005,10000,45,0.0045,0.003364971291591769,0.006015571093748737,64,120,1,depolarizing,True
7,0.005,10000,30,0.003,0.0021022876940520996,0.004279406686400436,118,336,1,depolarizing,True
9,0.005,10000,16,0.0016,0.0009851326596934777,0.002597636916196953,188,720,1,depolarizing,True
1,0.01,10000,77,0.0077,0.006165744043271591,0.009612340752496585,1,0,1,depolarizing,False
3,0.01,10000,204,0.0204,0.017807894923034105,0.02336043631411889,26,24,1,depolarizing,True
5,0.01,10000,335,0.0335,0.030148541425793103,0.03720972905404816,64,120,1,depolarizing,True
7,0.01,10000,346,0.0346,0.031192827397953683,0.03836459828547208,118,336,1,depolarizing,True
9,0.01,10000,354,0.0354,0.0319529181589372,0.039203893127095484,188,720,1,depolarizing,True
1,0.02,10000,129,0.0129,0.010867887236225882,0.015306203976487257,1,0,1,depolarizing,False
3,0.02,10000,762,0.0762,0.0711610564576371,0.08156442056134838,26,24,1,depolarizing,True
5,0.02,10000,1588,0.1588,0.15176773526473988,0.16609430522340982,64,120,1,depolarizing,True
7,0.02,10000,2456,0.2456,0.2372622279026253,0.254133150468375,118,336,1,depolarizing,True
9,0.02,10000,3334,0.3334,0.3242257061339002,0.3427022421232091,188,720,1,depolarizing,True
1,0.05,10000,327,0.0327,0.029389694497558846,0.03636919037967548,1,0,1,depolarizing,False
3,0.05,10000,2600,0.26,0.25149624314172625,0.2686880760761985,26,24,1,depolarizing,True
5,0.05,10000,4684,0.4684,0.4586337758718292,0.47819049282519743,64,120,1,depolarizing,True
7,0.05,10000,4999,0.4999,0.4901021004111254,0.5096979763885487,118,336,1,depolarizing,True
9,0.05,10000,5015,0.5015,0.49170152989173893,0.5112973181131489,188,720,1,depolarizing,True
